Method,Index,Rerank,mAP,Recall@100,P@100,Latency/query_ms,Memory_MB,nlist,nprobe,pq_m,pq_bits,ef_search,hnsw_m,Best
Ret-Flat,Flat,No,0.012263972669657994,0.015486572835289052,0.010403546869344915,0.4643859391921806,20.03910541534424,128,16,16,8,64,32,True
Ret-IVF,IVF,No,0.003025745501523004,0.015483987653550774,0.010401737242128123,0.037282319931421934,20.27936840057373,64,8,16,8,64,32,False
Ret-IVF,IVF,No,0.004438348940730955,0.015483987653550774,0.010401737242128123,0.04282709011144685,20.27936840057373,64,16,16,8,64,32,True
Ret-IVF,IVF,No,0.002239333829161395,0.015483987653550774,0.010401737242128123,0.02901302930759755,20.46735668182373,128,8,16,8,64,32,False
Ret-IVF,IVF,No,0.0030883353537163186,0.015483987653550774,0.010401737242128123,0.034829062629468166,20.46735668182373,128,16,16,8,64,32,False
Ret-HNSW,HNSW,No,0.0013737185835944361,0.015518747225385935,0.010418023887079263,0.020000217154647695,21.811647415161133,128,16,16,8,32,32,False
Ret-HNSW,HNSW,No,0.0014930035509697155,0.015483987653550774,0.010401737242128123,0.023491404267379203,21.811647415161133,128,16,16,8,64,32,True
Ret-PQ,PQ,No,0.012177244996315575,0.015081281148649851,0.010186391603329714,0.053237187845509064,0.8022670745849609,128,16,8,8,64,32,True
Ret-PQ,PQ,No,0.012130758288094975,0.01512312838931556,0.010211726384364822,0.053568385812611335,0.8544521331787109,128,16,16,8,64,32,False
Ret-IVF-PQ,IVF-PQ,No,0.002801374063382099,0.015056277674320282,0.010146579804560261,0.031983134277108305,1.0425300598144531,64,8,8,8,64,32,False
Ret-IVF-PQ,IVF-PQ,No,0.0028155868619975885,0.014873425111141625,0.01002171552660152,0.036217861036442076,1.0947151184082031,64,8,16,8,64,32,False
Ret-IVF-PQ,IVF-PQ,No,0.0042144580421797665,0.015056277674320282,0.010146579804560261,0.03800989867083882,1.0425300598144531,64,16,8,8,64,32,False
Ret-IVF-PQ,IVF-PQ,No,0.004228496921567746,0.014873425111141625,0.01002171552660152,0.03973137892946504,1.0947151184082031,64,16,16,8,64,32,True
Ret-IVF-PQ,IVF-PQ,No,0.002094211782468892,0.015405250878969625,0.010208107129931233,0.02767517191546332,1.2305183410644531,128,8,8,8,64,32,False
Ret-IVF-PQ,IVF-PQ,No,0.0020703062509766527,0.015326251169960047,0.010177343467245747,0.02589375678944687,1.2827033996582031,128,8,16,8,64,32,False
Ret-IVF-PQ,IVF-PQ,No,0.0029417505383978835,0.015405250878969625,0.010208107129931233,0.032473000365946816,1.2305183410644531,128,16,8,8,64,32,False
Ret-IVF-PQ,IVF-PQ,No,0.0029180974341859976,0.015326251169960047,0.010177343467245747,0.030090553747369377,1.2827033996582031,128,16,16,8,64,32,False
